Order,Order Chinese,Family,Family English,Family Chinese,Genus,Suggested Chinese genus name,China range keyword species count,Example China-tagged species
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Sterna,,2,黄嘴河燕鸥 (Sterna aurantia); 黑腹燕鸥 (Sterna acuticauda)
Ciconiiformes,鹳形目,Ciconiidae,Storks,,Mycteria,,2,白鹮鹳 (Mycteria cinerea); 彩鹳 (Mycteria leucocephala)
Coraciiformes,佛法僧目,Meropidae,Bee-eaters,,Merops,,2,蓝喉蜂虎 (Merops viridis); 栗喉蜂虎 (Merops philippinus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Bambusicola,,2,灰胸竹鸡 (Bambusicola thoracicus); 台湾竹鸡 (Bambusicola sonorivox)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Chrysolophus,,2,红腹锦鸡 (Chrysolophus pictus); 白腹锦鸡 (Chrysolophus amherstiae)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Lophophorus,,2,棕尾虹雉 (Lophophorus impejanus); 绿尾虹雉 (Lophophorus lhuysii)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Lophura,,2,蓝腹鹇 (Lophura swinhoii); 戴氏火背鹇 (Lophura diardi)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Polyplectron,,2,海南孔雀雉 (Polyplectron katsumatae); 灰孔雀雉 (Polyplectron bicalcaratum)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Tetraophasis,,2,红喉雉鹑 (Tetraophasis obscurus); 黄喉雉鹑 (Tetraophasis szechenyii)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Zapornia,,2,姬田鸡 (Zapornia parva); 棕背田鸡 (Zapornia bicolor)
Passeriformes,雀形目,Alaudidae,Larks,,Melanocorypha,,2,蒙古百灵 (Melanocorypha mongolica); 长嘴百灵 (Melanocorypha maxima)
Passeriformes,雀形目,Campephagidae,Cuckooshrikes,,Pericrocotus,,2,小灰山椒鸟 (Pericrocotus cantonensis); 粉红山椒鸟 (Pericrocotus roseus)
Passeriformes,雀形目,Cisticolidae,Cisticolas and Allies,,Prinia,,2,黑胸山鹪莺 (Prinia atrogularis); 褐冠山鹪莺 (Prinia khasiana)
Passeriformes,雀形目,Corvidae,"Crows, Jays, and Magpies",,Podoces,,2,黑尾地鸦 (Podoces hendersoni); 白尾地鸦 (Podoces biddulphi)
Passeriformes,雀形目,Fringillidae,"Finches, Euphonias, and Allies",,Mycerobas,,2,黄颈拟蜡嘴雀 (Mycerobas affinis); 白点翅拟蜡嘴雀 (Mycerobas melanozanthos)
Passeriformes,雀形目,Fringillidae,"Finches, Euphonias, and Allies",,Spinus,,2,藏黄雀 (Spinus thibetanus); 黄雀 (Spinus spinus)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Actinodura,,2,纹头斑翅鹛 (Actinodura nipalensis); 台湾斑翅鹛 (Actinodura morrisoniana)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Heterophasia,,2,白耳奇鹛 (Heterophasia auricularis); 灰奇鹛 (Heterophasia gracilis)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Liocichla,,2,灰胸薮鹛 (Liocichla omeiensis); 黄痣薮鹛 (Liocichla steerii)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Cyornis,,2,中华仙鹟 (Cyornis glaucicomans); 白喉林鹟 (Cyornis brunneatus)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Monticola,,2,栗腹矶鸫 (Monticola rufiventris); 白喉矶鸫 (Monticola gularis)
Passeriformes,雀形目,Oriolidae,Old World Orioles,,Oriolus,,2,鹊色鹂 (Oriolus mellianus); 印度金黄鹂 (Oriolus kundoo)
Passeriformes,雀形目,Paradoxornithidae,Parrotbills and Allies,,Rhopophilus,,2,山鹛 (Rhopophilus pekinensis); 西域山鹛 (Rhopophilus albosuperciliaris)
Passeriformes,雀形目,Paradoxornithidae,Parrotbills and Allies,,Suthora,,2,灰冠鸦雀 (Suthora przewalskii); 云南鸦雀 (Suthora ricketti)
Passeriformes,雀形目,Paridae,"Tits, Chickadees, and Titmice",,Periparus,,2,黄腹山雀 (Periparus venustulus); 棕枕山雀 (Periparus rufonuchalis)
Passeriformes,雀形目,Pellorneidae,Ground Babblers and Allies,,Schoeniparus,,2,黄喉雀鹛 (Schoeniparus cinereus); 金额雀鹛 (Schoeniparus variegaticeps)
Passeriformes,雀形目,Pittidae,Pittas,,Pitta,,2,蓝翅八色鸫 (Pitta moluccensis); 仙八色鸫 (Pitta nympha)
Passeriformes,雀形目,Pycnonotidae,Bulbuls,,Pycnonotus,,2,条耳鹎 (Pycnonotus conradi); 台湾鹎 (Pycnonotus taivanus)
Passeriformes,雀形目,Sturnidae,"Rhabdornis, Starlings, and Mynas",,Spodiopsar,,2,丝光椋鸟 (Spodiopsar sericeus); 灰椋鸟 (Spodiopsar cineraceus)
Passeriformes,雀形目,Timaliidae,"Tree Babblers, Scimitar Babblers, and Allies",,Erythrogenys,,2,华南斑胸钩嘴鹛 (Erythrogenys swinhoei); 台湾斑胸钩嘴鹛 (Erythrogenys erythrocnemis)
Passeriformes,雀形目,Turdidae,Thrushes and Allies,,Cochoa,,2,紫宽嘴鸫 (Cochoa purpurea); 绿宽嘴鸫 (Cochoa viridis)
