status,matchMethod,CBR row,CBR scientific name,CBR Chinese name,CBR English name,AviList scientific name used,AviList English name,candidate scientific names,CBR notes
matched_exact,scientificName,1431,Phoenicurus ochruros,赭红尾鸲,Black Redstart,Phoenicurus ochruros,Black Redstart,,
matched_exact,scientificName,1432,Phoenicurus phoenicurus,欧亚红尾鸲,Common Redstart,Phoenicurus phoenicurus,Common Redstart,,
matched_exact,scientificName,1433,Phoenicurus auroreus,北红尾鸲,Daurian Redstart,Phoenicurus auroreus,Daurian Redstart,,
matched_exact,scientificName,1434,Phoenicurus hodgsoni,黑喉红尾鸲,Hodgson's Redstart,Phoenicurus hodgsoni,Hodgson's Redstart,,
matched_exact,scientificName,1435,Phoenicurus erythrogastrus,红腹红尾鸲,White-winged Redstart,Phoenicurus erythrogastrus,Güldenstädt's Redstart,,
matched_exact,scientificName,1436,Monticola cinclorhyncha,蓝头矶鸫,Blue-capped Rock Thrush,Monticola cinclorhyncha,Blue-capped Rock Thrush,,2023年9月19日，西藏日喀则，范仕祥，学名由Monticola cinclorhynchus修订为Monticola cinclorhyncha
matched_exact,scientificName,1437,Monticola gularis,白喉矶鸫,White-throated Rock Thrush,Monticola gularis,White-throated Rock Thrush,,
matched_exact,scientificName,1438,Monticola rufiventris,栗腹矶鸫,Chestnut-bellied Rock Thrush,Monticola rufiventris,Chestnut-bellied Rock Thrush,,
matched_exact,scientificName,1439,Monticola saxatilis,白背矶鸫,Common Rock Thrush,Monticola saxatilis,Common Rock Thrush,,英文名由Rufous-tailed Rock Thrush为Common Rock Thrush
matched_exact,scientificName,1440,Monticola solitarius,蓝矶鸫,Blue Rock Thrush,Monticola solitarius,Blue Rock Thrush,,
matched_exact,scientificName,1441,Saxicola jerdoni,黑白林䳭,Jerdon's Bushchat,Saxicola jerdoni,Jerdon's Bush Chat,,
matched_exact,scientificName,1442,Saxicola ferreus,灰林䳭,Grey Bushchat,Saxicola ferreus,Grey Bush Chat,,
matched_exact,scientificName,1443,Saxicola rubetra,草原石䳭,Whinchat,Saxicola rubetra,Whinchat,,2023年5月17日，新疆阿勒泰，李思琪，张雪莲（张雪莲等，2023）
matched_exact,scientificName,1444,Saxicola caprata,白斑黑石䳭,Pied Bushchat,Saxicola caprata,Pied Bush Chat,,
matched_exact,scientificName,1445,Saxicola insignis,白喉石䳭,White-throated Bushchat,Saxicola insignis,White-throated Bush Chat,,
unmatched,englishName,1446,Saxicola stejnegeri,东亚石䳭,Stejneger's Stonechat,,,,
matched_exact,scientificName,1447,Saxicola maurus,黑喉石䳭,Siberian Stonechat,Saxicola maurus,Siberian Stonechat,,
matched_exact,scientificName,1448,Oenanthe oenanthe,穗䳭,Northern Wheatear,Oenanthe oenanthe,Northern Wheatear,,
matched_exact,scientificName,1449,Oenanthe isabellina,沙䳭,Isabelline Wheatear,Oenanthe isabellina,Isabelline Wheatear,,
matched_exact,scientificName,1450,Oenanthe deserti,漠䳭,Desert Wheatear,Oenanthe deserti,Desert Wheatear,,
matched_exact,scientificName,1451,Oenanthe pleschanka,白顶䳭,Pied Wheatear,Oenanthe pleschanka,Pied Wheatear,,
matched_exact,scientificName,1452,Oenanthe picata,东方斑䳭,Variable Wheatear,Oenanthe picata,Variable Wheatear,,
matched_exact,scientificName,1454,Cinclus cinclus,河乌,White-throated Dipper,Cinclus cinclus,White-throated Dipper,,
matched_exact,scientificName,1455,Cinclus pallasii,褐河乌,Brown Dipper,Cinclus pallasii,Brown Dipper,,
matched_exact,scientificName,1457,Chloropsis moluccensis,蓝翅叶鹎,Blue-winged Leafbird,Chloropsis moluccensis,Blue-winged Leafbird,,
matched_exact,scientificName,1458,Chloropsis aurifrons,金额叶鹎,Golden-fronted Leafbird,Chloropsis aurifrons,Golden-fronted Leafbird,,
matched_exact,scientificName,1459,Chloropsis hardwickii,黄冠橙腹叶鹎,Orange-bellied Leafbird,Chloropsis hardwickii,Orange-bellied Leafbird,,
unmatched,englishName,1460,Chloropsis lazulina,橙腹叶鹎,Greyish-crowned Leafbird,,,,
matched_name_conflict_avilist_taxonomy_used,englishName,1462,Dicaeum agile,厚嘴啄花鸟,Thick-billed Flowerpecker,Pachyglossa agilis,Thick-billed Flowerpecker,Pachyglossa agilis,
matched_name_conflict_avilist_taxonomy_used,englishName,1463,Dicaeum chrysorrheum,黄臀啄花鸟,Yellow-vented Flowerpecker,Pachyglossa chrysorrhea,Yellow-vented Flowerpecker,Pachyglossa chrysorrhea,
matched_name_conflict_avilist_taxonomy_used,englishName,1464,Dicaeum melanozanthum,黄腹啄花鸟,Yellow-bellied Flowerpecker,Pachyglossa melanozantha,Yellow-bellied Flowerpecker,Pachyglossa melanozantha,
matched_exact,scientificName,1465,Dicaeum minullum,纯色啄花鸟,Plain Flowerpecker,Dicaeum minullum,Plain Flowerpecker,,
matched_exact,scientificName,1466,Dicaeum ignipectus,红胸啄花鸟,Fire-breasted Flowerpecker,Dicaeum ignipectus,Fire-breasted Flowerpecker,,
matched_exact,scientificName,1467,Dicaeum cruentatum,朱背啄花鸟,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Scarlet-backed Flowerpecker,,
matched_exact,scientificName,1469,Chalcoparia singalensis,紫颊直嘴太阳鸟,Ruby-cheeked Sunbird,Chalcoparia singalensis,Ruby-cheeked Sunbird,,
matched_exact,scientificName,1470,Anthreptes malacensis,褐喉食蜜鸟,Brown-throated Sunbird,Anthreptes malacensis,Brown-throated Sunbird,,
matched_exact,scientificName,1471,Cinnyris asiaticus,紫色花蜜鸟,Purple Sunbird,Cinnyris asiaticus,Purple Sunbird,,
matched_exact,scientificName,1472,Cinnyris jugularis,黄腹花蜜鸟,Olive-backed Sunbird,Cinnyris jugularis,Garden Sunbird,,
matched_exact,scientificName,1473,Aethopyga gouldiae,蓝喉太阳鸟,Mrs. Gould's Sunbird,Aethopyga gouldiae,Mrs. Gould's Sunbird,,
matched_exact,scientificName,1474,Aethopyga nipalensis,绿喉太阳鸟,Green-tailed Sunbird,Aethopyga nipalensis,Green-tailed Sunbird,,
matched_exact,scientificName,1475,Aethopyga christinae,叉尾太阳鸟,Fork-tailed Sunbird,Aethopyga christinae,Fork-tailed Sunbird,,
matched_exact,scientificName,1476,Aethopyga saturata,黑胸太阳鸟,Black-throated Sunbird,Aethopyga saturata,Black-throated Sunbird,,
matched_exact,scientificName,1477,Aethopyga siparaja,黄腰太阳鸟,Crimson Sunbird,Aethopyga siparaja,Crimson Sunbird,,
matched_exact,scientificName,1478,Aethopyga ignicauda,火尾太阳鸟,Fire-tailed Sunbird,Aethopyga ignicauda,Fire-tailed Sunbird,,
