status,Genus,Suggested Chinese genus name,Shared suffix,CBR species count,Example species,Method
not_used,Cercotrichas,,棕薮鸲,1,棕薮鸲 (Cercotrichas galactotes),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Cerorhinca,,角嘴海雀,1,角嘴海雀 (Cerorhinca monocerata),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Certhia,旋木雀属,旋木雀,7,旋木雀 (Certhia familiaris); 霍氏旋木雀 (Certhia hodgsoni); 高山旋木雀 (Certhia himalayana); 锈红腹旋木雀 (Certhia nipalensis); 褐喉旋木雀 (Certhia discolor); 休氏旋木雀 (Certhia manipurensis); 四川旋木雀 (Certhia tianquanensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Ceryle,,斑鱼狗,1,斑鱼狗 (Ceryle rudis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Cettia,,莺,4,宽尾树莺 (Cettia cetti); 大树莺 (Cettia major); 棕顶树莺 (Cettia brunnifrons); 栗头地莺 (Cettia castaneocoronata),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Ceyx,,三趾翠鸟,1,三趾翠鸟 (Ceyx erithaca),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Chalcoparia,,紫颊直嘴太阳鸟,1,紫颊直嘴太阳鸟 (Chalcoparia singalensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Chalcophaps,,绿翅金鸠,1,绿翅金鸠 (Chalcophaps indica),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Charadrius,,剑鸻,1,剑鸻 (Charadrius hiaticula),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Chelidorhynx,,黄腹扇尾鹟,1,黄腹扇尾鹟 (Chelidorhynx hypoxanthus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Chlamydotis,,波斑鸨,1,波斑鸨 (Chlamydotis macqueenii),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Chlidonias,浮鸥属,浮鸥,3,须浮鸥 (Chlidonias hybrida); 黑浮鸥 (Chlidonias niger); 白翅浮鸥 (Chlidonias leucopterus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Chloris,金翅雀属,金翅雀,4,欧金翅雀 (Chloris chloris); 金翅雀 (Chloris sinica); 高山金翅雀 (Chloris spinoides); 黑头金翅雀 (Chloris ambigua),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Chloropsis,叶鹎属,叶鹎,3,蓝翅叶鹎 (Chloropsis moluccensis); 金额叶鹎 (Chloropsis aurifrons); 黄冠橙腹叶鹎 (Chloropsis hardwickii),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Chroicocephalus,,鸥,4,细嘴鸥 (Chroicocephalus genei); 澳洲红嘴鸥 (Chroicocephalus novaehollandiae); 红嘴鸥 (Chroicocephalus ridibundus); 棕头鸥 (Chroicocephalus brunnicephalus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Chrysococcyx,金鹃属,金鹃,2,翠金鹃 (Chrysococcyx maculatus); 紫金鹃 (Chrysococcyx xanthorhynchus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Chrysocolaptes,,大金背啄木鸟,1,大金背啄木鸟 (Chrysocolaptes guttacristatus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Chrysolophus,腹锦鸡属,腹锦鸡,2,红腹锦鸡 (Chrysolophus pictus); 白腹锦鸡 (Chrysolophus amherstiae),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Chrysomma,,金眼鹛雀,1,金眼鹛雀 (Chrysomma sinense),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Chrysophlegma,,大黄冠啄木鸟,1,大黄冠啄木鸟 (Chrysophlegma flavinucha),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Ciconia,,鹳,4,白颈鹳 (Ciconia episcopus); 黑鹳 (Ciconia nigra); 白鹳 (Ciconia ciconia); 东方白鹳 (Ciconia boyciana),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Cinclidium,,蓝额长脚地鸲,1,蓝额长脚地鸲 (Cinclidium frontale),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Cinclus,河乌属,河乌,2,河乌 (Cinclus cinclus); 褐河乌 (Cinclus pallasii),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Cinnyris,花蜜鸟属,花蜜鸟,2,紫色花蜜鸟 (Cinnyris asiaticus); 黄腹花蜜鸟 (Cinnyris jugularis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Circaetus,,短趾雕,1,短趾雕 (Circaetus gallicus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Circus,,鹞,6,白头鹞 (Circus aeruginosus); 白腹鹞 (Circus spilonotus); 白尾鹞 (Circus cyaneus); 草原鹞 (Circus macrourus); 鹊鹞 (Circus melanoleucos); 乌灰鹞 (Circus pygargus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Cissa,绿鹊属,绿鹊,2,蓝绿鹊 (Cissa chinensis); 印支绿鹊 (Cissa hypoleuca),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Cisticola,扇尾莺属,扇尾莺,2,棕扇尾莺 (Cisticola juncidis); 金头扇尾莺 (Cisticola exilis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Clamator,翅凤头鹃属,翅凤头鹃,2,红翅凤头鹃 (Clamator coromandus); 斑翅凤头鹃 (Clamator jacobinus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Clanga,,乌雕,1,乌雕 (Clanga clanga),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Clangula,,长尾鸭,1,长尾鸭 (Clangula hyemalis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Coccothraustes,,锡嘴雀,1,锡嘴雀 (Coccothraustes coccothraustes),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Cochoa,宽嘴鸫属,宽嘴鸫,2,紫宽嘴鸫 (Cochoa purpurea); 绿宽嘴鸫 (Cochoa viridis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Coloeus,寒鸦属,寒鸦,2,寒鸦 (Coloeus monedula); 达乌里寒鸦 (Coloeus dauuricus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Columba,,鸽,11,原鸽 (Columba livia); 岩鸽 (Columba rupestris); 雪鸽 (Columba leuconota); 欧鸽 (Columba oenas); 中亚鸽 (Columba eversmanni); 斑尾林鸽 (Columba palumbus); 点斑林鸽 (Columba hodgsonii); 灰林鸽 (Columba pulchricollis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Copsychus,鹊鸲属,鹊鸲,2,鹊鸲 (Copsychus saularis); 白腰鹊鸲 (Copsychus malabaricus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Coracias,胸佛法僧属,胸佛法僧,2,棕胸佛法僧 (Coracias affinis); 蓝胸佛法僧 (Coracias garrulus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Coracina,,大鹃鵙,1,大鹃鵙 (Coracina javensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Corvus,,鸦,6,家鸦 (Corvus splendens); 秃鼻乌鸦 (Corvus frugilegus); 小嘴乌鸦 (Corvus corone); 白颈鸦 (Corvus torquatus); 大嘴乌鸦 (Corvus macrorhynchos); 渡鸦 (Corvus corax),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Coturnicops,,花田鸡,1,花田鸡 (Coturnicops exquisitus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Coturnix,鹌鹑属,鹌鹑,3,西鹌鹑 (Coturnix coturnix); 鹌鹑 (Coturnix japonica); 黑胸鹌鹑 (Coturnix coromandelica),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Crex,,长脚秧鸡,1,长脚秧鸡 (Crex crex),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
